HG Story Title	Author	Genre	Subgenre (if applicable)	Word Count	# of Omnibus Ratings	Omnibus Rating	# of Steam Reviews	% of Positive Steam Reviews	# of Google Reviews	# of GPS Installs	GPS Score	Release Date	Price	Free?
Popcorn, Soda�Murder?	Pauzle	Mystery		23000	65	4.1			1229	100k+	3.6	3/4/2010	$1.99	Yup
The Nightmare Maze	Alex Livingston	Horror	Puzzle	5200	29	4			1069	50k+	3.5	6/17/2010	$0.99	Yup
What Happened Last Night?	Kie Brooks	Mystery	Humor	4900	134	3.9			753	50k+	3.1	7/19/2010	$0.99	Yup
Paranoia	Kie Brooks	Puzzle		5800	180	3.9			1139	50k+	3.4	4/16/2011	$0.99	Yup
Imprisoned	Myth Thrazz	Fantasy	Puzzle	40000	358	4.2			2211	100k+	3.6	4/21/2011	$0.99	Yup
Land of Three Classes	Christopher Salomon	Puzzle	Fantasy	35000	18	3.8			165	10k+	2.9	4/21/2011	$0.99	Yup
Marine Raider	Allen Gies	War	Historical	43000	388	4.3			2660	100K+	3.9	4/25/2011	$1.99	Yup
Dilemma	Mikhail Koroviev	Slice of Life	Modern	7000	202	3.9			643	50k+	3.3	11/29/2011	$0.99	Yup
Zombie Exodus	Jim Dattilo	Supernatural	Post-apocalyptic	700000	1463	4.7	138	89%	7191	100k+	4.3	12/4/2011	$1.99	Nope
Zebulon	Matt Slaybaugh	Sci-Fi		29000	36	3.6			337	10k+	3.3	12/12/2011	$0.99	Yup
Mobile Armored Marine: Mission to Far Hope	Steve Cave	Sci-Fi	Mech	65000	189	4.6			2451	100k+	4.2	12/16/2011	$0.99	Yup
The Race	Andy Why	Slice of Life	Modern	72000	101	4.1			399	10k+	3.8	12/22/2011	$1.99	Yup
Dead Already?	Kie Brooks	Mystery	Puzzle	7400	70	3.6			551	50k+	3.1	12/22/2011	$0.99	Yup
Apex Patrol	Allen Gies	Sci-Fi		270000	266	4.5			186	1k+	4	3/23/2012	$1.99	Yup
The Sons of the Cherry	Alex Livingston	Historical	Fantasy	15000	138	3.8			275	10k+	2.5	4/28/2012	$0.99	Yup
Way Walkers: University	J. Leigh	Fantasy	School	190000	859	4.7			746	10k+	4.4	8/31/2012	$3.99	Nope
Life of a Wizard	Mike Walter	Fantasy		140000	753	4.7	50	88%	1310	10k+	4.6	2/27/2013	$2.99	Nope
Sabres of Infinity	Paul Wang	War	Fantasy	200000	952	4.8			924	10k+	4.8	6/21/2013	$2.99	Nope
Paradox Factor	Mike Walter	Sci-Fi		30000	78	4.6			289	5k+	3.8	8/2/2013	$0.99	Nope
Way Walkers: University 2	J. Leigh	Fantasy	School	200000	675	4.7			693	5k+	4.7	10/18/2013	$4.99	Nope
Burn(t)	Vivi Tran	Supernatural	Post-apocalyptic	71000	378	3.4			561	10k+	2	12/20/2013	$1.99	Yup
UnNatural	Sam Kabell	Supernatural	Modern	290000	421	4.7			3688	100k+	4.3	1/3/2014	$2.99	Nope
Tin Star	Allen Gies	Historical		1400000	847	4.9	263	96%	1188	10k+	4.8	2/21/2014	$4.99	Nope
Trial of the Demon Hunter	Samuel Harrison Young	Fantasy		78000	115	4.5	5	40%	237	1k+	3.8	4/3/2014	$1.99	Nope
Planetary Quarantine	Andrew J. Schaefer	Sci-Fi		90000	20	4.2			131	1k+	3.7	5/16/2014	$1.99	Nope
Life of a Mobster	Mike Walter	Crime	Modern	150000	763	4.7	26	92%	976	10k+	4.5	7/11/2014	$2.99	Nope
Fatehaven	Devon Connell	Fantasy		110000	722	4.7			1075	10k+	4.3	8/8/2014	$2.99	Nope
Path of Light	Ivailo Daskalov	Fantasy		100000	14	4.4			N/A	N/A	N/A	8/15/2014	$0.99	Nope
Sword of the Elements	Dmitry Drugov	Fantasy		230000	11	3.9			97	1k+	2.5	9/5/2014	$1.99	Nope
The Gangs of Old Camp	Amith Shaju	Crime	Modern	35000	80	3.9			86	1k+	3	9/12/2014	$0.99	Nope
Divided We Fall	Alex Clifford	War	Historical	140000	60	4.6			174	1k+	4.4	10/17/2014	$1.99	Nope
The Ascot	Duncan Bowsman	Puzzle	Humor	160000	48	3.9			89	1k+	2.9	12/5/2014	$4.99	Yup
Somme Trench	Andrew J. Schaefer	War	Historical	230000	183	4.5			298	5k+	4.4	12/29/2014	$2.99	Nope
Silent Gear	Lee Yuan	Sci-Fi	War	40000	169	4.2			N/A	N/A	N/A	12/29/2014	$1.99	Yup
Lords of Aswisk - First of His Blood	Teo Kuusela	Fantasy		300000	449	4.7			843	10k+	4.4	1/30/2015	$2.99	Nope
